Completed in 6262.875s

0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 400, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 400, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 400, 'lr': 0.1}
0.632576 (0.188707) with: {'batch_size': 96, 'epochs': 450, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 450, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 450, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 450, 'lr': 0.1}
0.606061 (0.177398) with: {'batch_size': 96, 'epochs': 500, 'lr': 0.001}
0.662879 (0.100593) with: {'batch_size': 96, 'epochs': 500, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 500, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 500, 'lr': 0.1}
0.689394 (0.177337) with: {'batch_size': 120, 'epochs': 50, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 50, 'lr': 0.005}
0.594697 (0.164616) with: {'batch_size': 120, 'epochs': 50, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 50, 'lr': 0.1}
0.632576 (0.175261) with: {'batch_size': 120, 'epochs': 100, 'lr': 0.001}
0.659091 (0.097184) with: {'batch_size': 120, 'epochs': 100, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 100, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 100, 'lr': 0.1}
0.636364 (0.121654) with: {'batch_size': 120, 'epochs': 150, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 150, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 150, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 150, 'lr': 0.1}
0.643939 (0.187800) with: {'batch_size': 120, 'epochs': 200, 'lr': 0.001}
0.632576 (0.161447) with: {'batch_size': 120, 'epochs': 200, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 200, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 200, 'lr': 0.1}
0.647727 (0.173760) with: {'batch_size': 120, 'epochs': 250, 'lr': 0.001}
0.590909 (0.145758) with: {'batch_size': 120, 'epochs': 250, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 250, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 250, 'lr': 0.1}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 300, 'lr': 0.001}
0.659091 (0.180983) with: {'batch_size': 120, 'epochs': 300, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 300, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 300, 'lr': 0.1}
0.693182 (0.197947) with: {'batch_size': 120, 'epochs': 350, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 350, 'lr': 0.005}
0.598485 (0.160186) with: {'batch_size': 120, 'epochs': 350, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 350, 'lr': 0.1}
0.609848 (0.141138) with: {'batch_size': 120, 'epochs': 400, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 400, 'lr': 0.005}
0.598485 (0.160186) with: {'batch_size': 120, 'epochs': 400, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 400, 'lr': 0.1}
0.750000 (0.114130) with: {'batch_size': 120, 'epochs': 450, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 450, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 450, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 450, 'lr': 0.1}
0.632576 (0.184251) with: {'batch_size': 120, 'epochs': 500, 'lr': 0.001}
0.598485 (0.160186) with: {'batch_size': 120, 'epochs': 500, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 500, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 120, 'epochs': 500, 'lr': 0.1}
0.693182 (0.202021) with: {'batch_size': 144, 'epochs': 50, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 50, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 50, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 50, 'lr': 0.1}
0.613636 (0.167503) with: {'batch_size': 144, 'epochs': 100, 'lr': 0.001}
0.590909 (0.158526) with: {'batch_size': 144, 'epochs': 100, 'lr': 0.005}
0.594697 (0.151720) with: {'batch_size': 144, 'epochs': 100, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 100, 'lr': 0.1}
0.678030 (0.191819) with: {'batch_size': 144, 'epochs': 150, 'lr': 0.001}
0.640152 (0.175493) with: {'batch_size': 144, 'epochs': 150, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 150, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 150, 'lr': 0.1}
0.659091 (0.189944) with: {'batch_size': 144, 'epochs': 200, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 200, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 200, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 200, 'lr': 0.1}
0.715909 (0.149905) with: {'batch_size': 144, 'epochs': 250, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 250, 'lr': 0.005}
0.594697 (0.164616) with: {'batch_size': 144, 'epochs': 250, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 250, 'lr': 0.1}
0.587121 (0.159881) with: {'batch_size': 144, 'epochs': 300, 'lr': 0.001}
0.598485 (0.160186) with: {'batch_size': 144, 'epochs': 300, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 300, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 300, 'lr': 0.1}
0.640152 (0.184677) with: {'batch_size': 144, 'epochs': 350, 'lr': 0.001}
0.590909 (0.145758) with: {'batch_size': 144, 'epochs': 350, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 350, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 350, 'lr': 0.1}
0.708333 (0.135850) with: {'batch_size': 144, 'epochs': 400, 'lr': 0.001}
0.617424 (0.094202) with: {'batch_size': 144, 'epochs': 400, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 400, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 400, 'lr': 0.1}
0.678030 (0.210988) with: {'batch_size': 144, 'epochs': 450, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 450, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 450, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 450, 'lr': 0.1}
0.674242 (0.122880) with: {'batch_size': 144, 'epochs': 500, 'lr': 0.001}
